MSR_DT,STTN_NM,PM25,PM10,O3,CO,SO2,NO2,Month,Hour
2023-12-27 21:00:00,삼방동,20.0,43.0,0.0061,0.5,0.0026,0.0407,12.0,21.0
2023-11-07 06:00:00,삼방동,9.0,25.0,0.035,0.25,0.0021,0.008,11.0,6.0
2023-07-07 20:00:00,삼방동,4.0,5.0,0.037,0.44,,0.022,7.0,20.0
2023-11-19 14:00:00,삼방동,7.0,17.0,0.039,0.31,0.0021,0.009,11.0,14.0
2023-02-14 01:00:00,삼방동,14.0,17.0,0.036,0.5,0.002,0.01,2.0,1.0
2023-01-14 07:00:00,삼방동,9.0,18.0,0.019,,0.003,0.006,1.0,7.0
2023-09-30 15:00:00,삼방동,8.0,17.0,0.047,0.3,0.002,0.007,9.0,15.0
2023-03-08 23:00:00,삼방동,12.0,23.0,0.043,0.4,0.002,0.019,3.0,23.0
2023-10-04 08:00:00,삼방동,9.0,25.0,0.017,0.31,0.0018,0.01,10.0,8.0
2023-05-16 07:00:00,삼방동,29.0,47.0,0.048,0.3,0.002,0.018,5.0,7.0
2023-02-13 13:00:00,삼방동,9.0,21.0,0.046,0.4,0.003,0.007,2.0,13.0
2023-02-06 16:00:00,삼방동,15.0,27.0,0.029,0.4,0.003,0.029,2.0,16.0
2023-01-15 11:00:00,삼방동,5.0,20.0,0.022,,0.003,0.007,1.0,11.0
2023-04-18 18:00:00,삼방동,12.0,45.0,0.049,0.29,0.002,0.012,4.0,18.0
2023-06-23 14:00:00,삼방동,17.0,35.0,0.092,0.37,0.0039,0.011,6.0,14.0
2023-07-29 22:00:00,삼방동,16.0,19.0,0.021,0.26,0.0018,0.009,7.0,22.0
2023-04-04 14:00:00,삼방동,15.0,37.0,0.065,0.25,0.003,0.01,4.0,14.0
,삼방동,5.0,17.0,0.032,0.25,0.0022,0.008,,
2023-05-14 03:00:00,삼방동,16.0,21.0,0.023,0.3,0.002,0.01,5.0,3.0
2023-02-05 02:00:00,삼방동,23.0,31.0,0.038,0.5,0.003,0.014,2.0,2.0
2023-08-31 09:00:00,삼방동,9.0,15.0,0.014,0.52,0.0013,0.007,8.0,9.0
2023-07-10 22:00:00,삼방동,19.0,31.0,0.054,0.47,,0.005,7.0,22.0
2023-05-09 07:00:00,삼방동,13.0,23.0,0.018,0.36,0.002,0.024,5.0,7.0
2023-04-09 07:00:00,삼방동,5.0,39.0,0.029,0.27,0.003,0.014,4.0,7.0
2023-09-24 09:00:00,삼방동,4.0,19.0,0.043,0.2,0.0013,0.005,9.0,9.0
2023-08-24 08:00:00,삼방동,3.0,15.0,0.023,0.4,0.0012,0.009,8.0,8.0
2023-07-17 03:00:00,삼방동,2.0,1.0,0.019,0.4,,0.006,7.0,3.0
2023-02-28 09:00:00,삼방동,32.0,49.0,0.006,0.9,0.004,0.052,2.0,9.0
2023-02-15 05:00:00,삼방동,4.0,9.0,0.036,0.3,0.002,0.005,2.0,5.0
2023-02-17 20:00:00,삼방동,31.0,33.0,0.003,0.6,0.003,0.046,2.0,20.0
2023-11-04 07:00:00,삼방동,14.0,19.0,0.005,0.39,0.0025,0.024,11.0,7.0
2023-06-07 20:00:00,삼방동,,,,,,,6.0,20.0
2023-08-07 22:00:00,삼방동,6.0,11.0,0.016,0.33,0.0013,0.003,8.0,22.0
2023-12-23 12:00:00,삼방동,5.0,27.0,0.0349,0.25,0.0019,0.0083,12.0,12.0
2023-07-21 13:00:00,삼방동,29.0,31.0,0.085,0.35,0.002,0.006,7.0,13.0
2023-12-20 19:00:00,삼방동,10.0,19.0,0.0332,0.31,0.0017,0.0112,12.0,19.0
2023-06-13 05:00:00,삼방동,12.0,19.0,0.038,0.27,0.0028,0.007,6.0,5.0
